company,category,subcategory,product_name,affiliate_url,amazon_url,amazon_asin,commission_rate,cookie_duration_days,open_program,pitch_likelihood_pct,region_us,region_eu,region_cn,region_row,credit_rating,google_review_score,beginner_friendly,modality,price_range_low,price_range_high,currency,notes
OpenAI,AI Platforms,LLM Provider,ChatGPT Plus,,,,0,0,FALSE,25,TRUE,TRUE,FALSE,TRUE,A,4.2,TRUE,text,20,200,USD,No affiliate program; enterprise partnerships only
OpenAI,AI Platforms,LLM Provider,OpenAI API,,,,0,0,FALSE,25,TRUE,TRUE,FALSE,TRUE,A,4.2,FALSE,api,0,10000,USD,Usage-based pricing; no affiliate program
Anthropic,AI Platforms,LLM Provider,Claude Pro,https://www.anthropic.com/referral,,,0,0,FALSE,40,TRUE,TRUE,FALSE,TRUE,A,4.3,TRUE,text,20,200,USD,Enterprise referral program only; one-time fee; apply via anthropic.com/referral
Anthropic,AI Platforms,LLM Provider,Claude API,https://www.anthropic.com/referral,,,0,0,FALSE,40,TRUE,TRUE,FALSE,TRUE,A,4.3,FALSE,api,0,10000,USD,Enterprise referral partner program; undisclosed commission
Google,AI Platforms,Cloud AI,Google Cloud AI,https://cloud.google.com/affiliate-program,,,5,30,TRUE,0,TRUE,TRUE,FALSE,TRUE,AAA,4.1,FALSE,api,0,50000,USD,Via CJ Affiliate; tiered commissions; US and Canada only
Google,AI Platforms,Cloud AI,Vertex AI,https://cloud.google.com/affiliate-program,,,5,30,TRUE,0,TRUE,FALSE,FALSE,FALSE,AAA,4.1,FALSE,api,0,50000,USD,Part of Google Cloud affiliate via CJ
Amazon,AI Platforms,Cloud AI,AWS Bedrock,https://affiliate-program.amazon.com/,,,10,1,TRUE,0,TRUE,TRUE,FALSE,TRUE,AA,4.0,FALSE,api,0,50000,USD,Via Amazon Associates; 24-hour cookie; up to 10% on qualifying
Microsoft,AI Platforms,Cloud AI,Azure AI,https://www.microsoft.com/en-us/partners,,,0,0,FALSE,35,TRUE,TRUE,FALSE,TRUE,AAA,4.0,FALSE,api,0,50000,USD,AI Cloud Partner Program; co-selling model; no traditional affiliate
Hugging Face,AI Platforms,Model Hub,Hugging Face Hub,,,,0,0,FALSE,20,TRUE,TRUE,FALSE,TRUE,B,4.5,TRUE,platform,0,200,USD,No affiliate program; open-source focused
Hugging Face,AI Platforms,Model Hub,Hugging Face Inference API,,,,0,0,FALSE,20,TRUE,TRUE,FALSE,TRUE,B,4.5,FALSE,api,0,5000,USD,Provider pass-through pricing; no affiliate
Replicate,AI Platforms,Inference,Replicate API,,,,0,0,FALSE,15,TRUE,TRUE,FALSE,TRUE,B,4.3,FALSE,api,0,5000,USD,No affiliate program found
Together AI,AI Platforms,Inference,Together AI API,,,,0,0,FALSE,15,TRUE,TRUE,FALSE,TRUE,B,4.2,FALSE,api,0,10000,USD,No affiliate program found
Groq,AI Platforms,Inference,Groq Cloud,,,,0,0,FALSE,10,TRUE,TRUE,FALSE,TRUE,B,4.4,FALSE,api,0,5000,USD,No affiliate program; hardware-focused company
